review,label
This app is so bad don't download. If u play your favriout song it will start an anthoer song. Don't download,negative
love this app!!! podcasts also help me a lot.,positive
I think you should put an option for to add lyrics as some of songs don't have lyrics so it's better we have option we can add it ourselves.,negative
Stop hijacking my lock screen with album art! I don't want everyone to know that I'm listening to the Frozen soundtrack ðŸ˜‚,negative
Alot of songs are now being removed and now very boring app,negative
"Themusic is clear and atleast unlike YouTube, I'm able to use other applications whilst there is good music playing in the background.",positive
Really great app with loads of feature in their premiums.,positive
I love this app. It's part of my daily life,positive
1 Music to listen anywhere,positive
Great shows and consistent quality- and so much more!,positive
Love it no commercials and non stop music I like,positive
It's the best music app but the only problem are ads.They are long and very annoying ads....,negative
The playlists are amazing... The variety of music is top tier.. definitely worth every penny,positive
From creating yoga Playlist to finding ANY song from any Era to a wide selection of interesting podcast and topics... I use spotify all the time and highly recommend to family and friends!,positive
Disastrous update. Lost all controls for audio one track/playlist is selected. Plus gaps in playback. What the hells happened? Galaxy S10+ up-to-date Android.,negative
"Used to love this app, but since they started forcing Podcasts into the app, without letting you removing the recommendation and the f@#$ing AI continue to offer me religious and explicit content, I had to move to another app. I was a paying customer, and shame on you for taking a good music app and destroying the user experience. There is a feature request for three years with literally thousands of upvote yo let people remove the podcast section or at least hide some of it recommendation.",negative
I use this for shows like scrub and music only annoying thing is that it tells me that I have to have 1 hour to go back to 6 songs,negative
"Lower your ad volume, it's louder than the music... almost destroyed my 460$ headphones",negative
Great music available all the time.,positive
"Good streaming service, however the lack of lossless audio in 2022 is inexcusable",negative
Great app very stable with a vast library of materials to suit most people's taste.,positive
"I've had a fantastic time using Spotify,you can any artist or song into the search box & you be right at the artist album along with other singers or himself.",positive
"It plays more ads rather then the main music, if anyone want to buy premium they'll take it. Wth you've to again and again say the same thing take the premium, take the premium to enjoy music. Like i don't want to take premium why you've to again and again say that thing, fo smth with that ads please!",negative
"Just freezes all the time, shame the price and service dont match up,",negative
"I enjoy having the lyrics to many songs. It's nice to correct my ears' misanterpration of sound for many words. How new, after all these years. Thank you.",positive
The only thing I have a hard time with can't find certain songs but otherwise I like it,positive
"The new update is a big disappointment. It is so so so worse. The previous version was good. In this new version, you can't play a specific song from your playlist. You can't skip songs. And if you search a song, you won't get to listen to that song but will song dome random song. It is really disappointing!!!",negative
"Everything is fine except the pricing, I would be better to give some offers for customers to buy premium",positive
"Spotify currently does not recognize when it has internet and when not, refusing to play music even when on wifi",negative
I love it I find all my fave music n new songs that come out I like that if u buy subscription u don't have any commercial,positive
This app is really good. I am grateful that this app exists. I'm meeting new bands through him.,positive
Best music app out there other than apple Music.,positive
"Okay, this app is good over all, but it has it's bad things. First one is the amount of ads, after 2 songs it plays like 4 30 seconds long ads, and it's just annoying. Second, I don't know if it happens to android users, or just me, but when I'm using it on my phone the music stops by itself. Third, i had to delete an account because it had a deleted email linked and I couldn't change it since I can't have premium. You guys are just ""rude"" to free accounts. I'd be thankful if you changed that.",negative
I really enjoy using this app but some time it automatically stop but I like this app ðŸ™‚ðŸ™‚ðŸ™‚,positive
This app Is very nice.It's do Good Work I am an army.I listen BTS SONGS I LOVE TO LISTEN BTS SONGS or sabse achi baat muhhe yeh lagi is app ke bare mai Ki songs ke sath mai lyrics bhi aate hai.I am satisfied with this appðŸ’œðŸ’œ,positive
One of the best music apps you can use no cap,positive
It is an amazing and absolutely satisfying app. It saves data as it don't need much and because of this reason I can listen songs after my data is over. It is also easy to use but there is one thing which disturbs the most and that is ads.The app shows too many ads. The ads are coming after every time. Please do something of ads. I hope you can do something with ads. Otherwise everything thing is perfect.,positive
"Brand new s22 and this is unusable. The mini player keeps disappearing from the app and notification bar. It says there's no internet available when there is. If I'm using offline mode and try to play my downloaded songs, I'll keep tapping a song and nothing happens, nothing plays.",negative
"I love that there are so many artists that I can add to my playlist that aren't mainstream or don't have radio play. My issue however is that lately, old songs that I've added can't be played anymore bc they have been grayed out for some reason.",negative
Amazing,positive
I can't skip music's? can't choose music of my choice ? damn you go too far just for not subscribing,positive
So many bugs after the last update... I keep having to restart the app...,negative
I just love how music is selected just for me,positive
"COVID warnings on podcasts now?? Are you kidding? 2+ years later? Now? Super LAME!! Download a podcast to play later, forget about it. Why? Because you NEED AN INTERNET CONNECTION!? Huh?? If it wasn't for Joe Rogan, I'd have bailed on this app a long time ago. it's so glitchy, unreliable, counterintuitive, stupid warnings. I have to force close it constantly & restart and sometimes it jumps to a totally random podcast maybe even a year old??",negative
Spotify is great!,positive
"So in 2020i think i installed spotify and it was awesome great experience, but now every time I wanna listen to a song its says advertising or whatever, it just keeps going on with the advertising thing, am I doing some thing wrongs here?? I really dont know it hard to use it beacause of that?",negative
"Great app, really easy to navigate. However, creating playlist and discovering new songs is a NIGHTMARE. They resently removed the feature to preview the song before adding it to your playlist, making it almost impossible to find new songs, which I really dumb. They should add it back. But it's alright for listening on car trips and stuff",positive
Love it! Can find most any song title or artist. Can customize playlists. Discover artists I'm unfamiliar with via recommendations based on my preferred music styles. Great app.,positive
Amazing i would say I'm not premium member but I didn't give it full 5 star because sometimes the ads are quite often to the point that there would ads after every song and other is that sometimes it just stops working it doesn't show me which song I'm playing so they fixed that i would rate it 5 star without being a premium member,negative
Spotify gives me the best mixes. I love it.,positive
I love the app but having a Playlist that is 3 hours long and only having it play the same 10 songs repeatedly is quit annoying.,negative
Crashes repeatedly. Has come to the point where it's not even worth fighting with to listen to music and podcasts.,negative
"Absolutely love this app, still worth It even without premium, get premium though.",positive
"the excessive amount of ads makes me not want to use this app anymore. apart from that, its pretty good",negative
New update. Hate! What is up with the new update. It's impossible to play it in my car. I'm about to invest into something else. Sad!,negative
"Love the service but I hate the app! I am waiting for minutes to play even downloaded podcasts to the point that phone just shuts app or I just give up waiting ! Playing stops randomly , I am listening to advertising even after paying membership. After every update I am hoping it gets fixed but it never does...",negative
Does what it's supposed to. Easy to navigate ... Easy to use.,positive
The app was working great until the latest update. Now the now playing bar doesn't always appear at the bottom of the screen. Please fix this!,negative
I like that I can create my own playlists and there's a wide variety of music to choose from,positive
Easy to use and affordable,positive
"Although for a long time I was reluctant to use a paying music service because of how badly the artists are treated, I have been growing more attached to using Spotify over the past year. It's too expensive, especially when podcasts still play ads regardless of your sub (seriously, not okay). Nonetheless, despite certain quality of life issues, I have considered it worthwhile until recently. Since the last update it is basically unusable. Fix it ASAP please, we pay enough to expect good service!",negative
"I love the sound quality, besides my playlists, Spotify suggests great new ones and searching for artists or songs is really easy. The searched song becomes a seed for similar songs. I love it!",positive
"One of the best music application I have ever used. But the only matter is with the advertisement, reduce its number so that the listeners can really enjoy your application..",negative
Spotify 5 music song is beast,positive
"the recent update is really trash ngl tho like my music can stop in the middle of nowhere and the notification where u can see which songs is playing can be seen at all, pretty sure other user do have the same thing going on as well....",negative
"So far the best music streaming App, ever",positive
everything was good until the new update i cant even download my songs just because i wasn't on premium and i cant skip songs i can only skip 6 songs per hour,negative
I just love this app!! ðŸ’•ðŸ’• thank you.. If l could l would give you 100 stars,positive
Useless uncloseable pop ups. The get the better experience popup asking me to enable bluetooth even though its enabled doesnt turn off. Surely this is an easy fix for something that causes constant notifications upon opening? Such a simple thing to fix. Its enabled. Everything is. Still there. Staring at me. Deep into my soulless heart. Fix pls,negative
"Nice music app, but the skips for free accounts should be more.",negative
"If you are looking for a music app I would highly suggest Spotify. It has so many genres but not only rap, r&b, pop, rock, etc but it has different categories in those genres and you can also see the latest singles or albums that have been released. I would suggest to get premium bc of the amount of ads you get. Also they have 2000s music, 90, 80, down to 50s. I like how there's albums from music you've listened to that maybe you haven't heard in a min or while.",positive
"Been using Spotify for years but with a Samsung S22 you can't see the play bar, it doesn't connect to other devices without issues. Glitchy and rubbish. I've been paying this service for years but if things aren't improved, I'm out.",negative
"I've been using Spotify for around 7-8 years now, it's where I listen to music everyday since :)",positive
Spotify gets me there with a smile Always 6days a week Spotify keeps me smiling on my daily train rideA-train BklynNY,positive
"Spotify is not only great for the music you love, but for the music you're yet to love ðŸŒŸðŸŒŸðŸŒŸðŸŒŸðŸŒŸ",positive
I sincerely don't have any thing bad to say about this app and I love this way they arrange their play list,positive
Since the new update my touch screen in my truck doesn't recognize Spotify. That was 90 percent of my use for it. I don't think I need to keep the premium subscription anymore.,negative
Tried the app again after a long time off it and what a change. The lyrics functionality is now present and the app is no longer buggy and slow. I still don't understand why we have to deal with podcasts though. New artist recommendation deserves a bigger spotlight (front and centre). Tour dates and merch is harder to find now. How about artist interviews and SM built in. Listening parties is still a mission. At this point it's just okay and barely competes with the other services. Music first.,negative
Every music app advertising but if we are not purchasing Spotify premium It hase more love with the advertising than songs.,negative
Easy and enjoyable,positive
"Great app for streaming music, have a great selection, and some hard to find stuff.",positive
Autoplay feature not working anymore. It's not working also on the Amazon Echo dot either.,negative
So far so good ,positive
My wallet was stolen my family account was downgraded due to the card not going through. I updated with the new card and resumed my family account. They would not let the other members of my family join because it had not been 12 months since they first joined. After an 1 5 hours with 3 agents the best they could do was to tell me they could join again in December (7 months). That is insane! It is the same people in the same household we just had to change payment! What a scam!! Canceled acct.,negative
"The app's new update sucks,you can't select a specific song to listen to, it's like am being forced to listen to a different song instead of what i've searched forðŸ¤®ðŸ¤®ðŸ¤®",negative
"1. I can't listen to anything without an ad every time 2. I can't find songs only the playlist they are in even then I have to watch an ad to skip the other songs to get to the one I want to listen to 3.when I want to see what's next on a playlist I can't check 4. If I go to a playlist I can't choose the song I want to listen now , it just gives me a small bit of the song",positive
Good experience but plz add more collection and play according to the mood,positive
The recent update has bugs. Music will play but the app does not show what is playing. I can't skip etc.,positive
"I don't need to hear religious ads, skip option should be available. Keep ads neutral.",negative
Very good,positive
There are some serious issues with this app lately. We pay for a premium family subscription. Why the app keeps stopping even though it shows its still playing is driving me crazy! I pay for customers to be able to listen to music at my events. It stops playing every time there is a new email or message or no reason at all. Even when I've downloaded Playlist or listening to a podcast. This has been going on too long. Please fix it!!! Looking to replace this app now.,negative
What is the point of making an app where you can listen music when you have to be charged MONEY to be able to play THE SONG THAT YOU WANT TO LISTEN TO? Turning off shuffle mode and playing an album or playlist that should be played in the same order it was supposed to be listened to shouldn't be a PREMIUM FEATURE. There is no reason for me/someone to use this app when they can't even be able to listen to an album/playlist in the order it was ment to be listened to WITHOUT ADDING SONGS ON THEM.,negative
"The music selection is fantastic !Everyone hates commercials tho,lol.Right in the middle of a good tune & then the music stops briefly for commercial.I can deal with some but they get annoying after awhile.Otherwise in my opinion,its the best music app in the business.I absolutely love it! 5 STAR ALL THE WAY!",positive
I really enjoy using this app but ever since the new version was updated i cant play an album without seeing the indiviual songs in there. If there is any way that i can change it i would really love that ðŸ˜,negative
Haven't been able to use it on mobile for a week since the last update!,negative
The new update is very buggy. Music randomly stops. Or plays without saying it is. Have to restart it constantly,negative
"Extremely sluggish app, takes a minute to start on a brand new phone. Also the CEO is a retard regarding music as something that only has one goal, profit.",negative
Songs in my playlist keep repeating. Only shuffling through a few then plays the song It played 2 songs ago. I pay for premium but will cancel if not fixed soon.,negative
"player bar not showing up anymore, player very buggy",negative
It is a good music listening app i love the interface and everything. But please add the option to change audio quality on wear os. It is so much worse.,negative
Would be five star if you can actually pick a song without going to a playlist,positive
"Best application for latest songs,music etc",positive
I love music that Spotify plays.,positive
One of the best music applications I've used.,positive
I already upgraded my Spotify but i still don't have the lyrics,negative
"When the app works, it's great, but a lot of times music will pause randomly or the app won't show which song is currently playing correctly.",negative
Why am I suddenly getting ads in Russian??? I have no idea what they are saying but it's happening on a regular basis. Explain yourself Spotify!,negative
"Shocking. What happened to Spotify? Okay so I can deal with a 30 second ad to have 30 minutes uninterrupted music, but what the hell is with the ""only 6 skips"" thing? That is absolutely ridiculous. Spotify 10 years ago used to be the go to place for streaming, a genuine company that didn't try to rake all the cash they could off people. Now it's just ""pay for this, pay for that"" Been around since spring 2009 but I don't feel welcome without paying. Such a shame, won't be using ever again sadly.",negative
"Love the clarity of the music, great selection, but for the love of whichever God you may pray to, can you stop changing the way liked songs works? I personally enjoy the selected genre option, but with it taken away it is much harder to find the songs I want in liked songs. I know Playlist exist, but I find that those are minimizing to what songs I would listen to otherwise. All around, a good app, but inconsistent.",negative
I've had Spotify premium for over a year now. Recently its started glitching and not playing as it should. It pauses randomly (on downloaded songs) and more. If i am expected to pay $12 a month for my music I'd expect to be working as it should,negative
Tried coming back to the app and I don't understand why the app has to be so confusing to use and why do I need to pay to listen to songs,negative
This sucks without Spotify premium you can't do anything. You can't listen to your favorite song. you can't listen to your Playlist in order. And you can't loop your song. Spotify is just terrible at least YouTube music let's me listen to my favorite song. So I think you should probably just download YouTube music instead.,negative
Absolutely the best experience app when I'm facing down mood.Through any song by using it without any charge,positive
Recently the app has started crashing and having numerous play back issues also if you want to make sure artists make more emoney than Spotify and Sony try Napster or tidal.,negative
It's good but the add is so annoying....,negative
Been on Spotify for years and years never had an issue and has every song you'll ever want,positive
Excellent database & search facilities. Also offline use & crossfade on windows desktop app. Unlike other streaming services. Only downside is still no cd quality or high res available. Unlike other streaming services. Come on spotify lets have it please.,negative
Beat music app. Awesome sound qualities. And super Playlist ðŸ‘Œ,positive
best music quality but not able to chose your songs individually without premium,negative
"I like to use this app for songs because I can play music while looking at other apps, saves my favorite music, makes a Playlist off what I like, which I loves that and it works for me",positive
"Day by day i am additected to this app . I have been using this app from 4 mounths and i can't really imagine how much i got involved with this app .. whenever i fell bore or when i make a journey with any kinds of transportation, i love to hear SPOTIFY. I can't ignore this app... Lots of Love from Bangladesh..ðŸ‡§ðŸ‡©ðŸ‡§ðŸ‡©â¤ï¸â¤ï¸â¤ï¸â¤ï¸ðŸ‡§ðŸ‡©ðŸ‡§ðŸ‡©",negative
Great when it works. Becomes unresponsive when opening far too often. Sometimes it just randomly closes while playing. Takes a long time to load sometimes even though I have downloaded what I want to list to.,negative
"When I want to listen to songs other song are turning on like what? Fro example I want to listen hot milk, I click to play that song and its start to play other song.ðŸ˜ ",negative
Podcasts and audiobooks a welcome addition,positive
Absolutely satisfied. I would usually download music to my memory card until I found out about Spotify. All my fave songs from the 80s and 90s are all in here. I have strongly recommended this app to my colleagues and all have shared the same sentiments... Awesome!,positive
It's easy to get music on Spotify,positive
Best music app i have ever seen Love you spotify,positive
Logged out of my spotify account after resetting a password and now the app gets stuck at the launching/logo screen. Uninstalled over 10 times now. Still wont work. Have tried everything under the sun and cant get the app to launch. Honestly a bit ridiculous.,negative
Literally the best music streaming app,positive
I love song,positive
Unable to download music and yes I do have a premium account.,negative
"My original review was about the removal of the search tool. It's back now which is good. NOW they've removed Spotify connect support for JVC/Kenwood stereos! Can't even browse music or like songs from my car stereo anymore - just says ""Connecting"". STOP REMOVING FEATURES and actually add something... Something interesting for once! Tired of this constant deleting of features and moving things around.",negative
"Probably the best music app ever made, its only downside is that it doesn't have that much unreleased music",positive
Good for making playlists,positive
Very interesting. Easily connect me with my old time music,positive
it is just good not better then good because I just got premium and it didn't really work with no internet. then I searched up if you need internet for premium and it said no you don't. so idk what to do.,negative
Everything was perfect until my last update can't even play a single music or play the songs I've searched for,negative
It's a very good music app but it would be nice if the lyrics came in Tamil,positive
"The app keeps asking me to connect my devices(assume this is for data harvesting), why do I need to connect my device if it is already paired over BT? Debating on cancelling my membership and uninstalling if thos prompt persists.",negative
I really like listening to podcast on Spotify,negative
I love Spotify premium it's worth the price no commercials and you can download songs to play when you're out in the boonies ðŸ‘,positive
Very nice music platform,positive
"Honestly, this app is amazing! It allows me to listen to my music ad free for thirty minutes and it allows you to listen without all the bad quality! I bought premium and it's even better than you think. You may think I'm a robot, but I'm really not. (Totally not what a robot would say.) No, but seriously this app is just awesome and I don't even need wifi to listen to music now that I have premium. It has all your favorite songs! I encourage everyone to get Spotify and buy premium!",positive
"To Me this is the best music app ever, its easy great sound quality, there are many apps but Spotify tops them all.",positive
Wonderful! I've been with Spotify since you had to be invited to join.,positive
Worst lost of ad play one by one after one song ðŸ¤¬ðŸ¤¬ðŸ˜¡ðŸ˜¡,negative
It was gd. Bt some songs are not fully available and Some songs lyrics r not available.. So I'm posting 3 â­ï¸â­ï¸â­ï¸rs... ðŸ™‚,negative
"Everything is great and I switched from apple music the only thing they don't have that apple music does is remembering if the user wants their music to be on shuffle, repeated playing for the Playlist or repeated song playing.",negative
20/12/18-Stops and closes randomly all of a sudden. It used to do this but then stopped for a while. Its done it 3 times in the last 15 minutes. Very irritating 20/5/21- 3 years on and this issue is back again after last update . 9/6/22- oh look its still happening. 4 years... Really???why am I still playing for this.,negative
Really efficient and easy to use,positive
Went down the drain. As the app updates rolled on the app got worse. Well once you took my Playlist I had and took the shuffle feature away to what was left. Well on I go. Pandora wins.,negative
"What's happening!!! My music stops, never happened before...I have premium and maybe I should reconsider this app, it was acting great! What the hell spotify!Spotify!!",positive
I'm yet to find another streaming platform better than Spotify. Warning! Once you go Spotify you can't go back,negative
"there's no play , stop, or next button. the songs randomly stopped",negative
Why are you forcing me to continue premium when I want the free version. This is nonsense!!!!. I'm going to YouTube music,negative
Cause when I set a password I have to go back in a change it and it's to many advertising on this site,negative
"If I could rate this a 0 I would, My name is Hannah and I'm 11 and I absolutely hate this app. I downloaded it and signed in made a playlist and what happend you may ask, well they added what they wanted onto it, it's so rude and when I tried to delete it of it said that I couldn't because they had picked it special for me, and it wouldn't let me play any other songs in my playlist, so just like that an hour after I down loaded it it's been installed an hour later. I'm never downloading again",negative
Lately after moving to preimum the app is buggy as hell won't load . Tried contacting the support through mail and all they can offer for support is uninstall and clear cached data. It's pathetic to say was on of the best apps now it's shite.,negative
I enjoy the ease of listening to my favorite podcasts and songs.,positive
Excellent music anywhere and anytime.,positive
Amazing,positive
"A simple, easy to use, very user friendly all. Build your playlist quickly and listen to your fav sing throughout the day",positive
"Everything is perfect with Spotify,just some and only some times it's will take your payment if your paying for premium about a few days earlier,but it's in general not a bad or worst thing, love this, had it for 4 years, no problems whatsoever, regardless if what any other idiot says",positive
Great selection of choices and remembering my listen to stations,positive
Totally recommended for music lovers and artists,positive
You cant even use it when travaling or if your visiting right across the freking border,negative
"What is wrong with you guy why are you trying to force us to buy premium. Can't skip for 1 hour after 6 time said to buy premium, ad popup between song. you decrease these things little bit I will delete the review then.",negative
Can't play Spotify when on WiFi,negative
"Very nice app made by what seems to be very nice people, just kind of noticed that while using the app",positive
Very Very Very good song app which good than any other apps I really like this app Very much because of the way you gave us to select and all continue by making so much apps thanks for making app,positive
App is User friendly with wide choice of music ðŸŽ¶ ðŸŽµ. I recommend Spotify to the music lover's those who wish to listen the music Keep it up Team Spotify ðŸ‘,positive
Excellent music app,positive
I honestly don't know any other music app that's even comparable to Spotify. I've been with them for about ten years and cannot imagine life without it. Truly.,negative
I love it it's feel like the dj is on on the high volume sound if you were haedphone . I love it love it love it I am speechless enjoy â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸,positive
"Absolutely love Spotify, easy to use, great choice of artists and making a playlist is so easy.",positive
Only app where the algorithm actually f**king works.,negative
Music pauses over and over without me doing it. It does it at random times and the enhance mode is also very bad. I delete a song off the enhanced playlist but it comes right back on while I'm listening to music.,negative
"5 stars until the most recent update. The app currently glitches more than it plays music. Constantly pausing randomly, or turning back on by itself, I don't always see the bar that shows what is playing so I can't control my music. It's actually incredibly frustrating. Please fix.",negative
It's good I love it but when I add songs to a playlist it randomly adds some songs. If you could make that stop thanks but if you can't sorry for wasting your time.,positive
"Covid vaccine propaganda push in this app is so ridiculous, i had to give it a 1 star and delete. App is terrible.",negative
"Been a customer to Spotify for years, it's the perfect app for music ðŸŽ¶ imo",positive
this is my favourite music and podcasts platform offers great experiences suggests related contents to enjoy for free even if we have the premium account it worth subscriptions we can choose the playlist by adding our favourite singersbands,positive
"The app has started logging me out when I restart my phone whereas it never used to. That in itself is only a minor annoyance, but when I try to log back in the app tells me to go online to complete. When I tap on ""connect"" I'm met with a black screen and nothing else happens. Can't really see any way around it but to uninstall the app and reinstall it. Again. Fix your app, Spotify. This never used to be a problem.",negative
Keeps saying go online to search when connected via mobile data. There's no way to refresh.,negative
Who can really fault Spotify? I use the paid version but it's very much worth it.,positive
This app is amazing and has all the best songs,positive
You guys are the bomb! I haven't tried a recording yet that you won't play. Thanks.,negative
"So slow and buggy. I've got this glitch in offline mode where it'll often skip tracks, not even one but 2 in a row. Basically imagine listening to My Beautiful Dark Twisted Fantasy and it goes straight from Dark Fantasy to All Of The Lights Interlude. It basically makes the app unusable if you wanna listen to any album whatsoever. Can't believe I'm paying for this nonsense, app was working perfectly a couple months back, what happened?",negative
My most loved app. I wish I could get premium ðŸ˜•,negative
"It is good, helpful for me. But every single time I want to extend my premium access, I always have a problem with it. It always says ""Something error"" and I have to access it via laptop/web. It's not practical. When I am away and didn't bring my laptop, I have to wait to reach home to extend my premium access. Could you please help me? Thank you so much.",negative
Best but too ads,negative
I love this app the only problem with it is just when I have my own Playlist going it will turn on another song which isn't in it. Ads last a minute or two but they don't hurt at all. I would absolutely advise downloading this app for music and podcasts.,positive
Shuffle option is terrible only plays a select ammount of the songs in play lists on a loop.,negative
"I love Spotify because you can download any music you want with no ads popping up. You can listen to music even when your not in the app. You can play a game with music still going on. You can even make Spotify an alarm for you to wake up in the morning. Finally, Spotify is one of the greatest music apps I know and I hope you love it too; give it a five star ratingðŸ˜Ž.",positive
"Doesn't have everything I was looking for, but it has way more than I was expecting.",positive
"13.04.22 It used to be fine. As a paid subscribers, I don't understand why sometimes the play bar for the current song disappears completely, which means the option to skip forward/back isn't there. Whatever is playing can't be stopped, so have had to uninstall to reinstall again, this would be the 4th time in a week! I cancel my subscription as that's not what I was paying for. 14.04.22 4th time reinstalling today. DO NOT INSTALL THIS APP!!!",negative
I love Spotify great music and podcast.,positive
"If your not willing to spend money, don't bother. I got to listen to 1 song once and then it shuffled the songs. Every time I try to listen to the song again it plays something else because of the shuffle ""feature"". The only way to turn this ""feature"" off, is to get premium, which you have to pay for. Very disappointing.",negative
Loses downloads whenever phone restarts or freezes. Lagging hard.,negative
